created_at,entry_id,field1
2017-04-15 09:18:56 UTC,4272,12.00
2017-04-15 09:21:00 UTC,4273,11.50
2017-04-15 09:23:04 UTC,4274,11.00
2017-04-15 09:25:07 UTC,4275,11.00
2017-04-15 09:27:11 UTC,4276,11.25
2017-04-15 09:29:15 UTC,4277,10.75
2017-04-15 09:31:20 UTC,4278,10.75
2017-04-15 09:33:23 UTC,4279,11.00
2017-04-15 09:35:26 UTC,4280,11.75
2017-04-15 09:37:31 UTC,4281,11.75
2017-04-15 09:39:35 UTC,4282,11.75
2017-04-15 09:41:39 UTC,4283,11.75
2017-04-15 09:43:43 UTC,4284,11.75
2017-04-15 09:45:48 UTC,4285,11.50
2017-04-15 09:47:52 UTC,4286,11.00
2017-04-15 09:49:56 UTC,4287,11.75
2017-04-15 09:52:00 UTC,4288,11.25
2017-04-15 09:54:07 UTC,4289,11.00
2017-04-15 09:56:10 UTC,4290,11.25
2017-04-15 09:58:12 UTC,4291,11.25
2017-04-15 10:00:16 UTC,4292,11.75
2017-04-15 10:02:20 UTC,4293,12.25
2017-04-15 10:04:24 UTC,4294,11.75
2017-04-15 10:06:28 UTC,4295,11.75
2017-04-15 10:08:32 UTC,4296,11.50
2017-04-15 10:10:37 UTC,4297,13.00
2017-04-15 10:12:41 UTC,4298,12.50
2017-04-15 10:14:45 UTC,4299,12.75
2017-04-15 10:16:49 UTC,4300,12.50
2017-04-15 10:18:54 UTC,4301,13.00
2017-04-15 10:20:58 UTC,4302,13.25
2017-04-15 10:23:02 UTC,4303,12.00
2017-04-15 10:25:05 UTC,4304,11.75
2017-04-15 10:27:10 UTC,4305,12.00
2017-04-15 10:29:15 UTC,4306,12.00
2017-04-15 10:31:18 UTC,4307,12.00
2017-04-15 10:33:22 UTC,4308,12.00
2017-04-15 10:35:27 UTC,4309,12.75
2017-04-15 10:37:28 UTC,4310,12.75
2017-04-15 10:39:33 UTC,4311,12.50
2017-04-15 10:41:37 UTC,4312,12.00
2017-04-15 10:43:41 UTC,4313,11.75
2017-04-15 10:45:46 UTC,4314,12.50
2017-04-15 10:47:50 UTC,4315,12.50
2017-04-15 10:49:54 UTC,4316,12.75
2017-04-15 10:51:58 UTC,4317,12.50
2017-04-15 10:54:03 UTC,4318,12.50
2017-04-15 10:56:07 UTC,4319,12.50
2017-04-15 10:58:12 UTC,4320,12.50
2017-04-15 11:00:14 UTC,4321,12.50
2017-04-15 11:02:19 UTC,4322,12.00
2017-04-15 11:04:23 UTC,4323,12.25
2017-04-15 11:06:27 UTC,4324,12.50
2017-04-15 11:08:31 UTC,4325,12.25
2017-04-15 11:10:36 UTC,4326,12.50
2017-04-15 11:12:40 UTC,4327,12.75
2017-04-15 11:14:44 UTC,4328,12.75
2017-04-15 11:16:49 UTC,4329,12.75
2017-04-15 11:18:53 UTC,4330,12.75
2017-04-15 11:20:57 UTC,4331,12.25
2017-04-15 11:23:01 UTC,4332,12.50
2017-04-15 11:25:05 UTC,4333,12.50
2017-04-15 11:27:11 UTC,4334,12.75
2017-04-15 11:29:13 UTC,4335,12.75
2017-04-15 11:31:17 UTC,4336,12.50
2017-04-15 11:33:22 UTC,4337,12.50
2017-04-15 11:35:26 UTC,4338,12.00
2017-04-15 11:37:30 UTC,4339,12.25
2017-04-15 11:39:34 UTC,4340,11.75
2017-04-15 11:41:38 UTC,4341,12.00
2017-04-15 11:43:43 UTC,4342,12.00
2017-04-15 11:45:47 UTC,4343,12.25
2017-04-15 11:47:51 UTC,4344,12.25
2017-04-15 11:49:56 UTC,4345,12.00
2017-04-15 11:52:00 UTC,4346,12.00
2017-04-15 11:54:04 UTC,4347,11.75
2017-04-15 11:56:09 UTC,4348,11.75
2017-04-15 11:58:12 UTC,4349,12.00
2017-04-15 12:00:19 UTC,4350,12.00
2017-04-15 12:02:20 UTC,4351,12.00
2017-04-15 12:04:25 UTC,4352,11.75
2017-04-15 12:06:29 UTC,4353,11.50
2017-04-15 12:08:33 UTC,4354,11.75
2017-04-15 12:10:37 UTC,4355,12.00
2017-04-15 12:12:42 UTC,4356,12.75
2017-04-15 12:14:46 UTC,4357,14.00
2017-04-15 12:16:50 UTC,4358,13.75
2017-04-15 12:18:54 UTC,4359,12.50
2017-04-15 12:20:59 UTC,4360,12.50
2017-04-15 12:23:02 UTC,4361,12.75
2017-04-15 12:25:07 UTC,4362,12.75
2017-04-15 12:27:11 UTC,4363,12.50
2017-04-15 12:29:15 UTC,4364,12.00
2017-04-15 12:31:19 UTC,4365,12.00
2017-04-15 12:33:23 UTC,4366,12.25
2017-04-15 12:35:27 UTC,4367,12.50
2017-04-15 12:37:32 UTC,4368,12.75
2017-04-15 12:39:36 UTC,4369,13.00
2017-04-15 12:41:40 UTC,4370,13.00
2017-04-15 12:43:44 UTC,4371,13.00


